Target,Source
iudea,Alanus
ungula,Alanus
aquilo,Alanus
uiscus,Alanus
parturio,Alanus
aries,Alanus
zizania,Alanus
uultur,Alanus
tonitrus,Alanus
antrum,Alanus
hiems,Alanus
uilua,Alanus
cardo,Alanus
ferus,Alanus
maceria,Alanus
nolo,Alanus
onus,Alanus
telum,Alanus
ostium,Alanus
holocaustum,Alanus
uter,Alanus
tribuo,Alanus
tantus,Alanus
lana,Alanus
hinnulus,Alanus
nix,Alanus
lego,Alanus
crus,Alanus
purgo,Alanus
aruinus,Alanus
calculus,Alanus
callis,Alanus
polluo,Alanus
miror,Alanus
diplois,Alanus
minister,Alanus
buccina,Alanus
secundus,Alanus
asinus,Alanus
tignum,Alanus
ecce,Alanus
uestio,Alanus
acies,Alanus
dromedarius,Alanus
locusta,Alanus
catena,Alanus
memor,Alanus
animal,Alanus
plenus,Alanus
pinguedo,Alanus
mater,Alanus
pharetra,Alanus
cutis,Alanus
ludo,Alanus
rhamnus,Alanus
scabellum,Alanus
gula,Alanus
cophinus,Alanus
ursus,Alanus
impleo,Alanus
uoluptas,Alanus
arca,Alanus
trado,Alanus
uertex,Alanus
sacrus,Alanus
primitie,Alanus
bibo,Alanus
soror,Alanus
ficus,Alanus
conuenio,Alanus
casus,Alanus
serra,Alanus
chamus,Alanus
infero,Alanus
compositio,Alanus
insula,Alanus
uilla,Alanus
littera,Alanus
humilis,Alanus
pulchritudo,Alanus
adeps,Alanus
carmelus,Alanus
buxus,Alanus
fragmen,Alanus
pupillus,Alanus
securis,Alanus
mortalis,Alanus
truncus,Alanus
circuio,Alanus
lactuca,Alanus
uelamentum,Alanus
pascuum,Alanus
stipula,Alanus
cito,Alanus
sermo,Alanus
contero,Alanus
speculum,Alanus
spolium,Alanus
tectum,Alanus
acus,Alanus
aresco,Alanus
mercenarius,Alanus
fimbria,Alanus
dorsum,Alanus
mamma,Alanus
stagnum,Alanus
sudarium,Alanus
botrus,Alanus
uetus,Alanus
minimus,Alanus
potus,Alanus
struthio,Alanus
sterilis,Alanus
ericius,Alanus
columna,Alanus
lauacrum,Alanus
uocalis,Alanus
penna,Alanus
exsurgo,Alanus
uapor,Alanus
crocus,Alanus
eruca,Alanus
principatus,Alanus
pupilla,Alanus
uultus,Alanus
gutta,Alanus
accipiter,Alanus
sycomorus,Alanus
orbis,Alanus
laquearium,Alanus
iaculum,Alanus
usura,Alanus
tentorium,Alanus
quadruplex,Alanus
cauda,Alanus
opportunitas,Alanus
uectis,Alanus
arista,Alanus
odio,Alanus
gigno,Alanus
luceo,Alanus
dulcis,Alanus
fistula,Alanus
motus,Alanus
cera,Alanus
pasco,Alanus
renis,Alanus
concubina,Alanus
mandragora,Alanus
thronus,Alanus
contra,Alanus
cibo,Alanus
transfiguro,Alanus
triumpho,Alanus
ouilis,Alanus
formo,Alanus
saxum,Alanus
greek.expression,Alanus
sulcus,Alanus
thesaurizo,Alanus
uuum,Alanus
ue,Alanus
sicut,Alanus
maxilla,Alanus
permitto,Alanus
pecus,Alanus
uallis,Alanus
ulmus,Alanus
senex,Alanus
fex,Alanus
pactum,Alanus
dux,Alanus
testamentum,Alanus
asto,Alanus
farina,Alanus
predestinatio,Alanus
institor,Alanus
solium,Alanus
sopor,Alanus
aspis,Alanus
potestas,Alanus
collum,Alanus
saliunca,Alanus
moueo,Alanus
uomer,Alanus
basiliscus,Alanus
plumbum,Alanus
sino,Alanus
terribilis,Alanus
caprea,Alanus
platanus,Alanus
draco,Alanus
lagena,Alanus
aloe,Alanus
uiror,Alanus
uisito,Alanus
postulo,Alanus
estus,Alanus
probo,Alanus
canalis,Alanus
costa,Alanus
principium,Alanus
pleiades,Alanus
basis,Alanus
crystallus,Alanus
cano,Alanus
pomum,Alanus
marmor,Alanus
flatus,Alanus
scio,Alanus
uena,Alanus
nihil,Alanus
arena,Alanus
similitudo,Alanus
tigris,Alanus
res,Alanus
psalmus,Alanus
quercus,Alanus
salus,Alanus
nux,Alanus
iacio,Alanus
olla,Alanus
fodio,Alanus
profundum,Alanus
eternum,Alanus
onocentaurus,Alanus
linum,Alanus
proximus,Alanus
semino,Alanus
statura,Alanus
pascha,Alanus
coma,Alanus
tabesco,Alanus
abio,Alanus
umbilicus,Alanus
later,Alanus
torcular,Alanus
ueper,Alanus
grando,Alanus
concupisco,Alanus
mulus,Alanus
rupes,Alanus
pullus,Alanus
apis,Alanus
figura,Alanus
uagina,Alanus
thuribulum,Alanus
tunc,Alanus
clypeus,Alanus
populus,Alanus
uiuo,Alanus
parco,Alanus
lancea,Alanus
pardus,Alanus
titulus,Alanus
tempestas,Alanus
hircus,Alanus
butyrum,Alanus
thalamus,Alanus
camelus,Alanus
antemurale,Alanus
palmes,Alanus
rana,Alanus
tollo,Alanus
auster,Alanus
piscina,Alanus
babylon,Alanus
annulus,Alanus
uerecundia,Alanus
sinister,Alanus
scintilla,Alanus
miles,Alanus
uentilabrum,Alanus
quadriga,Alanus
denarius,Alanus
solitudo,Alanus
humilio,Alanus
regulus,Alanus
gazophylacium,Alanus
cartilago,Alanus
sacramentum,Alanus
militia,Alanus
primus,Alanus
fel,Alanus
creatura,Alanus
modius,Alanus
suscito,Alanus
lorica,Alanus
trulla,Alanus
angulus,Alanus
forsitan,Alanus
faucis,Alanus
pruna,Alanus
nardus,Alanus
utor,Alanus
tympanum,Alanus
inanis,Alanus
rete,Alanus
turtur,Alanus
erugo,Alanus
culmus,Alanus
organum,Alanus
decor,Alanus
uitula,Alanus
introeo,Alanus
inclino,Alanus
gleba,Alanus
sus,Alanus
salix,Alanus
sors,Alanus
uitrum,Alanus
acetum,Alanus
melior,Alanus
crassitudo,Alanus
aromum,Alanus
leuis,Alanus
area,Alanus
numero,Alanus
creo,Alanus
scrutor,Alanus
uuuentus,Alanus
stillicidium,Alanus
nasus,Alanus
sanitas,Alanus
magnitudo,Alanus
quadrans,Alanus
uado,Alanus
spica,Alanus
arcus,Alanus
uerax,Alanus
adolescentula,Alanus
pilus,Alanus
fauilla,Alanus
murus,Alanus
herodius,Alanus
cinnamomum,Alanus
scapula,Alanus
cortex,Alanus
hodie,Alanus
azymus,Alanus
tabula,Alanus
hamus,Alanus
byssus,Alanus
murenula,Alanus
tribulus,Alanus
baptismus,Alanus
myrrha,Alanus
fossa,Alanus
percutio,Alanus
iaspis,Alanus
morsus,Alanus
turbo,Alanus
murmuro,Alanus
confiteor,Alanus
spelunca,Alanus
capparis,Alanus
gyrus,Alanus
neruus,Alanus
thymiamum,Alanus
sapphirus,Alanus
genuum,Alanus
thorax,Alanus
magnifico,Alanus
luter,Alanus
sporta,Alanus
altilis,Alanus
uitta,Alanus
gradio,Alanus
catulus,Alanus
nycticorax,Alanus
nimis,Alanus
interitus,Alanus
falx,Alanus
cortina,Alanus
palea,Alanus
amen,Alanus
perdix,Alanus
musca,Alanus
etas,Alanus
lamia,Alanus
ioseph,Alanus
areola,Alanus
maiestas,Alanus
syon,Alanus
bruchus,Alanus
aratrum,Alanus
demonium,Alanus
iuncus,Alanus
cincinnus,Alanus
iordanes,Alanus
pruina,Alanus
castra,Alanus
pecunia,Alanus
scribo,Alanus
ferculum,Alanus
reptilis,Alanus
scorpio,Alanus
clerus,Alanus
dragma,Alanus
nescio,Alanus
uelamen,Alanus
somnus,Alanus
rosa,Alanus
regno,Alanus
sulphur,Alanus
crater,Alanus
cadauer,Alanus
euge,Alanus
testa,Alanus
paliurus,Alanus
cauma,Alanus
uigilia,Alanus
frango,Alanus
uiduus,Alanus
animalis,Alanus
numerus,Alanus
parum,Alanus
germen,Alanus
prelium,Alanus
hasta,Alanus
lectulus,Alanus
laboro,Alanus
nitrum,Alanus
rota,Alanus
medicus,Alanus
sacrifico,Alanus
stabulum,Alanus
legatus,Alanus
uua,Alanus
consul,Alanus
occurro,Alanus
planta,Alanus
letor,Alanus
agricola,Alanus
contritio,Alanus
gurges,Alanus
manduco,Alanus
cauerna,Alanus
artifex,Alanus
semel,Alanus
urtica,Alanus
pietas,Alanus
rapio,Alanus
exeo,Alanus
bos,Alanus
gurgustium,Alanus
similiter,Alanus
uenenum,Alanus
myrtus,Alanus
platea,Alanus
facilitas,Petrus
duo,Petrus
impetus,Petrus
iudea,Petrus
praesens,Petrus
cogo,Petrus
eradicatio,Petrus
adiutorium,Petrus
dampnatio,Petrus
spero,Petrus
significo,Petrus
uulpis,Petrus
harundo,Petrus
liberatio,Petrus
figura,Petrus
baptismus,Petrus
femina,Petrus
conspectus,Petrus
percutio,Petrus
molestia,Petrus
usura,Petrus
differo,Petrus
onus,Petrus
ops,Petrus
misericors,Petrus
appareo,Petrus
materialis,Petrus
abiectio,Petrus
iste,Petrus
regimen,Petrus
captiuitas,Petrus
tripliciter,Petrus
murmuro,Petrus
confiteor,Petrus
tantus,Petrus
populus,Petrus
significatio,Petrus
luceo,Petrus
dulcis,Petrus
hospes,Petrus
eternus,Petrus
lego,Petrus
iudico,Petrus
titulus,Petrus
concubitus,Petrus
magnifico,Petrus
purgo,Petrus
increpo,Petrus
hereticus,Petrus
motus,Petrus
tollo,Petrus
circumcido,Petrus
dolus,Petrus
uenatio,Petrus
polluo,Petrus
cubiculum,Petrus
diplois,Petrus
calciamentum,Petrus
congrego,Petrus
quiesco,Petrus
impius,Petrus
contra,Petrus
columpna,Petrus
secundus,Petrus
doleo,Petrus
ypocrisis,Petrus
flagellum,Petrus
nimis,Petrus
transfiguro,Petrus
triplex,Petrus
triumpho,Petrus
reprobatio,Petrus
dignitas,Petrus
misterium,Petrus
condicio,Petrus
purus,Petrus
incarnatio,Petrus
amen,Petrus
humilio,Petrus
caelus,Petrus
separo,Petrus
etas,Petrus
contempno,Petrus
duplex,Petrus
septem,Petrus
ioseph,Petrus
anathema,Petrus
timeo,Petrus
utilis,Petrus
membrum,Petrus
mirabilis,Petrus
auaricia,Petrus
libertas,Petrus
refrigerium,Petrus
conceptio,Petrus
conditio,Petrus
sacramentum,Petrus
syon,Petrus
effectus,Petrus
gula,Petrus
sicut,Petrus
fleo,Petrus
primus,Petrus
recipio,Petrus
gallina,Petrus
excessus,Petrus
pretium,Petrus
confirmo,Petrus
iuramentum,Petrus
temporalis,Petrus
exemplum,Petrus
duricia,Petrus
sacrus,Petrus
creatura,Petrus
corrumpo,Petrus
gemo,Petrus
testamentum,Petrus
uicium,Petrus
huiusmodi,Petrus
scribo,Petrus
predestinatio,Petrus
uito,Petrus
conuenio,Petrus
suscito,Petrus
casus,Petrus
nas,Petrus
melius,Petrus
potestas,Petrus
seruio,Petrus
contemplatio,Petrus
clericus,Petrus
felicitas,Petrus
forsitan,Petrus
moueo,Petrus
multipliciter,Petrus
falsitas,Petrus
nescio,Petrus
uelamen,Petrus
obedientia,Petrus
descensus,Petrus
prelatus,Petrus
quinque,Petrus
littera,Petrus
seruitus,Petrus
inanis,Petrus
euge,Petrus
differentia,Petrus
maledictio,Petrus
dominium,Petrus
diuicia,Petrus
interpretor,Petrus
lacrimor,Petrus
uespera,Petrus
mortalis,Petrus
appropinquo,Petrus
predicator,Petrus
demo,Petrus
alius,Petrus
incuruatio,Petrus
bene,Petrus
predicatio,Petrus
lacrima,Petrus
corrigo,Petrus
quatuor,Petrus
postulo,Petrus
sermo,Petrus
eripio,Petrus
hereses,Petrus
festiuitas,Petrus
consortium,Petrus
respectus,Petrus
uigilia,Petrus
abutor,Petrus
contero,Petrus
animalis,Petrus
numerus,Petrus
subiectio,Petrus
impedimentum,Petrus
falsus,Petrus
caelum,Petrus
milicia,Petrus
inclino,Petrus
preceptum,Petrus
milito,Petrus
egenus,Petrus
homicidium,Petrus
principium,Petrus
increpatio,Petrus
taciturnitas,Petrus
officium,Petrus
grauitas,Petrus
intelligo,Petrus
iohhannes,Petrus
persecutor,Petrus
praelatus,Petrus
iustificatio,Petrus
iniuria,Petrus
canto,Petrus
apostolus,Petrus
occultus,Petrus
noster,Petrus
dominicus,Petrus
immundicia,Petrus
scio,Petrus
inuitatio,Petrus
nihil,Petrus
mentior,Petrus
misereor,Petrus
laboro,Petrus
similitudo,Petrus
dilatatio,Petrus
effusio,Petrus
ydropicus,Petrus
psalmus,Petrus
auarus,Petrus
placo,Petrus
scrutor,Petrus
gracia,Petrus
sudarium,Petrus
uuuentus,Petrus
salus,Petrus
paupertas,Petrus
hostis,Petrus
respondeo,Petrus
armo,Petrus
iustifico,Petrus
habundantia,Petrus
hospitalitas,Petrus
uetus,Petrus
sacrifico,Petrus
culpa,Petrus
minimus,Petrus
profundum,Petrus
uenator,Petrus
exalto,Petrus
appeto,Petrus
missio,Petrus
postulatio,Petrus
solus,Petrus
discipulus,Petrus
occurro,Petrus
commendatio,Petrus
unctio,Petrus
pascha,Petrus
contemptus,Petrus
uerax,Petrus
illusio,Petrus
nuptiae,Petrus
flecto,Petrus
amo,Petrus
affligo,Petrus
cogitatio,Petrus
animus,Petrus
iusticia,Petrus
lauacrum,Petrus
refugium,Petrus
blasphemia,Petrus
cenaculum,Petrus
manduco,Petrus
consensus,Petrus
innouatio,Petrus
parens,Petrus
semel,Petrus
bonum,Petrus
semper,Petrus
dedicatio,Petrus
comparo,Petrus
exeo,Petrus
similiter,Petrus
redemptio,Petrus
irascor,Petrus
missus,Guido
confortor,Guido
certo,Guido
custodio,Guido
promissio,Guido
lacrimo,Maurit
impetus,Maurit
cogo,Maurit
eradicatio,Maurit
furtum,Maurit
adiutorium,Maurit
dampnatio,Maurit
galea,Maurit
beneplacitum,Maurit
stulticia,Maurit
ligatio,Maurit
studium,Maurit
rubor,Maurit
rugitus,Maurit
iaculum,Maurit
munitio,Maurit
conspectus,Maurit
molestia,Maurit
ops,Maurit
opportunitas,Maurit
morsus,Maurit
abiectio,Maurit
inuentio,Maurit
regimen,Maurit
captiuitas,Maurit
tribuo,Maurit
gyrus,Maurit
ariditas,Maurit
apparitio,Maurit
parco,Maurit
tempestas,Maurit
concubitus,Maurit
sompnus,Maurit
honestas,Maurit
custodia,Maurit
cesso,Maurit
emptio,Maurit
dolus,Maurit
uenatio,Maurit
accusatio,Maurit
cubiculum,Maurit
calciamentum,Maurit
bonitas,Maurit
pastus,Maurit
fidelitas,Maurit
gradio,Maurit
quiesco,Maurit
uerecundia,Maurit
delectatio,Maurit
columpna,Maurit
eruditio,Maurit
flagellum,Maurit
ypocrisis,Maurit
inquisitio,Maurit
interitus,Maurit
reprobatio,Maurit
ecce,Maurit
comparatio,Maurit
formo,Maurit
inuicem,Maurit
dignitas,Maurit
nauicula,Maurit
callidus,Maurit
funda,Maurit
pinguedo,Maurit
pharetra,Maurit
prex,Maurit
honus,Maurit
praecedo,Maurit
anathema,Maurit
ue,Maurit
inclinatio,Maurit
frigus,Maurit
missus,Maurit
ludo,Maurit
libertas,Maurit
fulgor,Maurit
refrigerium,Maurit
conceptio,Maurit
beneficium,Maurit
certitudo,Maurit
demonium,Maurit
recipio,Maurit
cecitas,Maurit
uoluptas,Maurit
detractio,Maurit
excessus,Maurit
pretium,Maurit
retributio,Maurit
iuramentum,Maurit
exemplum,Maurit
pulcritudo,Maurit
pactum,Maurit
primitie,Maurit
asto,Maurit
ascensus,Maurit
absconsio,Maurit
iocunditas,Maurit
error,Maurit
bibo,Maurit
esuries,Maurit
foramen,Maurit
lorica,Maurit
sopor,Maurit
equitas,Maurit
contemplatio,Maurit
dimissio,Maurit
rectitudo,Maurit
falsitas,Maurit
compositio,Maurit
obedientia,Maurit
extensio,Maurit
impedio,Maurit
reuersio,Maurit
attendo,Maurit
regno,Maurit
seruitus,Maurit
differentia,Maurit
dominium,Maurit
ydria,Maurit
incuruatio,Maurit
manducatio,Maurit
circuio,Maurit
frango,Maurit
uelamentum,Maurit
pascuum,Maurit
fraternitas,Maurit
cito,Maurit
decor,Maurit
eripio,Maurit
estus,Maurit
festiuitas,Maurit
respectus,Maurit
introeo,Maurit
saturitas,Maurit
subiectio,Maurit
cisterna,Maurit
milicia,Maurit
germen,Maurit
homicidium,Maurit
prelium,Maurit
increpatio,Maurit
tedium,Maurit
sors,Maurit
cano,Maurit
grauitas,Maurit
iustificatio,Maurit
edificatio,Maurit
iniuria,Maurit
uiror,Maurit
eleuatio,Maurit
lumbus,Maurit
u,Maurit
occultus,Maurit
flatus,Maurit
immundicia,Maurit
firmamentum,Maurit
aromum,Maurit
conseruo,Maurit
utilitas,Maurit
promissio,Maurit
dilatatio,Maurit
effusio,Maurit
creo,Maurit
placo,Maurit
simplicitas,Maurit
balteus,Maurit
hareno,Maurit
paupertas,Maurit
confortor,Maurit
hostis,Maurit
medicus,Maurit
habundantia,Maurit
iacio,Maurit
cella,Maurit
hospitalitas,Maurit
repello,Maurit
seduco,Maurit
certamen,Maurit
potus,Maurit
magnitudo,Maurit
postulatio,Maurit
compunctio,Maurit
discipulus,Maurit
commendatio,Maurit
contemptus,Maurit
conuersio,Maurit
festinatio,Maurit
illusio,Maurit
letitia,Maurit
disciplina,Maurit
flecto,Maurit
tabesco,Maurit
manifestatio,Maurit
habitaculum,Maurit
contritio,Maurit
habitatio,Maurit
refugium,Maurit
blasphemia,Maurit
cenaculum,Maurit
innouatio,Maurit
consensus,Maurit
exaltatio,Maurit
pietas,Maurit
gustus,Maurit
exsurgo,Maurit
dedicatio,Maurit
ardor,Maurit
ploro,Maurit
nuntius,Maurit
principatus,Maurit
desiderabilis,Maurit
praesens,Biard
furtum,Biard
parturio,Biard
significo,Biard
spero,Biard
herodes,Biard
beneplacitum,Biard
ligatio,Biard
studium,Biard
imitor,Biard
adiuuo,Biard
abundantia,Biard
differo,Biard
quadruplex,Biard
misericors,Biard
appareo,Biard
turbo,Biard
materialis,Biard
inuentio,Biard
iste,Biard
tripliciter,Biard
significatio,Biard
odio,Biard
ariditas,Biard
uiuo,Biard
uolucer,Biard
hospes,Biard
eternus,Biard
iudico,Biard
sompnus,Biard
increpo,Biard
cesso,Biard
oportet,Biard
stulticia,Biard
circumcido,Biard
pasco,Biard
miror,Biard
bonitas,Biard
superbus,Biard
acquiro,Biard
congrego,Biard
malum,Biard
doleo,Biard
cibo,Biard
recordor,Biard
comparatio,Biard
misterium,Biard
condicio,Biard
purus,Biard
incarnatio,Biard
memor,Biard
callidus,Biard
plenus,Biard
caelus,Biard
separo,Biard
contempno,Biard
thesaurizo,Biard
duplex,Biard
septem,Biard
prex,Biard
honus,Biard
praecedo,Biard
timeo,Biard
utilis,Biard
mirabilis,Biard
auaricia,Biard
aspicio,Biard
maiestas,Biard
conditio,Biard
beneficium,Biard
effectus,Biard
impleo,Biard
lugeo,Biard
permitto,Biard
confirmo,Biard
temporalis,Biard
trado,Biard
duricia,Biard
corrumpo,Biard
uicium,Biard
error,Biard
pecunia,Biard
huiusmodi,Biard
uito,Biard
melius,Biard
seruio,Biard
dimissio,Biard
rectitudo,Biard
clericus,Biard
felicitas,Biard
infero,Biard
multipliciter,Biard
extensio,Biard
impedio,Biard
prelatus,Biard
reuersio,Biard
quinque,Biard
utor,Biard
humilis,Biard
pulchritudo,Biard
honoro,Biard
sino,Biard
diuicia,Biard
terribilis,Biard
interpretor,Biard
predicator,Biard
demo,Biard
alius,Biard
bene,Biard
predicatio,Biard
lacrima,Biard
quatuor,Biard
corrigo,Biard
uisito,Biard
consortium,Biard
abutor,Biard
saturitas,Biard
impedimentum,Biard
parum,Biard
probo,Biard
falsus,Biard
caelum,Biard
tedium,Biard
demoniacus,Biard
taciturnitas,Biard
aresco,Biard
melior,Biard
intelligo,Biard
iohhannes,Biard
persecutor,Biard
praelatus,Biard
crassitudo,Biard
canto,Biard
aduersarius,Biard
apostolus,Biard
dyabolus,Biard
u,Biard
noster,Biard
dominicus,Biard
inuitatio,Biard
conseruo,Biard
custodio,Biard
leuis,Biard
utilitas,Biard
mentior,Biard
misereor,Biard
res,Biard
auarus,Biard
gracia,Biard
diuitiae,Biard
simplicitas,Biard
pacificus,Biard
respondeo,Biard
iustifico,Biard
repello,Biard
seduco,Biard
culpa,Biard
fodio,Biard
uenator,Biard
exalto,Biard
appeto,Biard
compunctio,Biard
proximus,Biard
esurio,Biard
semino,Biard
solus,Biard
eicio,Biard
memoro,Biard
unctio,Biard
festinatio,Biard
medicina,Biard
disciplina,Biard
amo,Biard
letor,Biard
affligo,Biard
animus,Biard
iusticia,Biard
parens,Biard
uocalis,Biard
bonum,Biard
rapio,Biard
comparo,Biard
nuntius,Biard
irascor,Biard
desiderabilis,Biard
triplex,Biard
facilitas,Gorran
duo,Gorran
lacrimo,Gorran
liberatio,Gorran
imitor,Gorran
adiuuo,Gorran
abundantia,Gorran
nolo,Gorran
tunc,Gorran
apparitio,Gorran
honestas,Gorran
custodia,Gorran
oportet,Gorran
emptio,Gorran
accusatio,Gorran
fidelitas,Gorran
minister,Gorran
acquiro,Gorran
delectatio,Gorran
eruditio,Gorran
inquisitio,Gorran
recordor,Gorran
inuicem,Gorran
uestio,Gorran
inclinatio,Gorran
aspicio,Gorran
certitudo,Gorran
fleo,Gorran
lugeo,Gorran
cecitas,Gorran
detractio,Gorran
pulcritudo,Gorran
gemo,Gorran
absconsio,Gorran
iocunditas,Gorran
esuries,Gorran
certo,Gorran
equitas,Gorran
descensus,Gorran
attendo,Gorran
honoro,Gorran
maledictio,Gorran
lacrimor,Gorran
appropinquo,Gorran
manducatio,Gorran
fraternitas,Gorran
preceptum,Gorran
milito,Gorran
egenus,Gorran
demoniacus,Gorran
officium,Gorran
edificatio,Gorran
eleuatio,Gorran
dyabolus,Gorran
numero,Gorran
sanitas,Gorran
certamen,Gorran
missio,Gorran
esurio,Gorran
uado,Gorran
eicio,Gorran
memoro,Gorran
conuersio,Gorran
medicina,Gorran
letitia,Gorran
cogitatio,Gorran
manifestatio,Gorran
habitatio,Gorran
exaltatio,Gorran
gustus,Gorran
concupisco,Gorran
semper,Gorran
ardor,Gorran
ploro,Gorran
redemptio,Gorran
hodie,Angel
pupilla,Angel
uultus,Angel
azymus,Angel
gutta,Angel
tabula,Angel
hamus,Angel
byssus,Angel
ungula,Angel
rupes,Angel
accipiter,Angel
aquilo,Angel
uiscus,Angel
murenula,Angel
aries,Angel
zizania,Angel
galea,Angel
sycomorus,Angel
tribulus,Angel
uultur,Angel
herodes,Angel
tonitrus,Angel
antrum,Angel
uulpis,Angel
harundo,Angel
hiems,Angel
pullus,Angel
apis,Angel
orbis,Angel
uilua,Angel
rubor,Angel
rugitus,Angel
laquearium,Angel
uagina,Angel
femina,Angel
cardo,Angel
munitio,Angel
myrrha,Angel
ferus,Angel
fossa,Angel
iaspis,Angel
maceria,Angel
tentorium,Angel
cauda,Angel
thuribulum,Angel
telum,Angel
ostium,Angel
clypeus,Angel
holocaustum,Angel
uter,Angel
uectis,Angel
capparis,Angel
spelunca,Angel
lana,Angel
arista,Angel
gigno,Angel
neruus,Angel
thymiamum,Angel
uolucer,Angel
sapphirus,Angel
genuum,Angel
lancea,Angel
hinnulus,Angel
nix,Angel
pardus,Angel
thorax,Angel
crus,Angel
fistula,Angel
hircus,Angel
aruinus,Angel
butyrum,Angel
hereticus,Angel
thalamus,Angel
camelus,Angel
antemurale,Angel
palmes,Angel
luter,Angel
rana,Angel
cera,Angel
auster,Angel
calculus,Angel
sporta,Angel
callis,Angel
altilis,Angel
renis,Angel
uitta,Angel
pastus,Angel
concubina,Angel
superbus,Angel
catulus,Angel
piscina,Angel
babylon,Angel
annulus,Angel
impius,Angel
buccina,Angel
mandragora,Angel
malum,Angel
thronus,Angel
nycticorax,Angel
asinus,Angel
tignum,Angel
sinister,Angel
ouilis,Angel
falx,Angel
acies,Angel
saxum,Angel
dromedarius,Angel
scintilla,Angel
locusta,Angel
cortina,Angel
miles,Angel
palea,Angel
uentilabrum,Angel
catena,Angel
quadriga,Angel
greek.expression,Angel
nauicula,Angel
denarius,Angel
animal,Angel
solitudo,Angel
funda,Angel
perdix,Angel
regulus,Angel
sulcus,Angel
mater,Angel
musca,Angel
lamia,Angel
uuum,Angel
gazophylacium,Angel
cutis,Angel
membrum,Angel
frigus,Angel
areola,Angel
cartilago,Angel
fulgor,Angel
rhamnus,Angel
bruchus,Angel
scabellum,Angel
militia,Angel
aratrum,Angel
cophinus,Angel
maxilla,Angel
ursus,Angel
gallina,Angel
pecus,Angel
iuncus,Angel
arca,Angel
fel,Angel
uallis,Angel
cincinnus,Angel
iordanes,Angel
pruina,Angel
retributio,Angel
ulmus,Angel
senex,Angel
fex,Angel
castra,Angel
uertex,Angel
dux,Angel
ascensus,Angel
farina,Angel
modius,Angel
ferculum,Angel
reptilis,Angel
institor,Angel
solium,Angel
soror,Angel
ficus,Angel
foramen,Angel
scorpio,Angel
clerus,Angel
nas,Angel
aspis,Angel
trulla,Angel
serra,Angel
collum,Angel
dragma,Angel
saliunca,Angel
chamus,Angel
angulus,Angel
somnus,Angel
insula,Angel
uilla,Angel
uomer,Angel
faucis,Angel
pruna,Angel
rosa,Angel
nardus,Angel
basiliscus,Angel
sulphur,Angel
plumbum,Angel
tympanum,Angel
crater,Angel
cadauer,Angel
testa,Angel
adeps,Angel
carmelus,Angel
buxus,Angel
paliurus,Angel
ydria,Angel
rete,Angel
caprea,Angel
cauma,Angel
fragmen,Angel
pupillus,Angel
turtur,Angel
uespera,Angel
securis,Angel
truncus,Angel
platanus,Angel
draco,Angel
erugo,Angel
culmus,Angel
lagena,Angel
aloe,Angel
lactuca,Angel
organum,Angel
stipula,Angel
hereses,Angel
uiduus,Angel
uitula,Angel
cisterna,Angel
canalis,Angel
costa,Angel
gleba,Angel
platea,Angel
pleiades,Angel
sus,Angel
basis,Angel
hasta,Angel
speculum,Angel
spolium,Angel
salix,Angel
crystallus,Angel
tectum,Angel
acus,Angel
uitrum,Angel
acetum,Angel
mercenarius,Angel
pomum,Angel
aduersarius,Angel
lumbus,Angel
fimbria,Angel
lectulus,Angel
marmor,Angel
dorsum,Angel
firmamentum,Angel
mamma,Angel
uena,Angel
area,Angel
arena,Angel
stagnum,Angel
tigris,Angel
ydropicus,Angel
nitrum,Angel
quercus,Angel
rota,Angel
diuitiae,Angel
balteus,Angel
pacificus,Angel
hareno,Angel
stillicidium,Angel
botrus,Angel
nux,Angel
armo,Angel
cella,Angel
nasus,Angel
stabulum,Angel
legatus,Angel
olla,Angel
uua,Angel
struthio,Angel
eternum,Angel
onocentaurus,Angel
consul,Angel
linum,Angel
quadrans,Angel
sterilis,Angel
spica,Angel
planta,Angel
arcus,Angel
statura,Angel
ericius,Angel
columna,Angel
coma,Angel
adolescentula,Angel
nuptiae,Angel
pilus,Angel
agricola,Angel
fauilla,Angel
habitaculum,Angel
murus,Angel
abio,Angel
gurges,Angel
herodius,Angel
cauerna,Angel
umbilicus,Angel
artifex,Angel
cinnamomum,Angel
urtica,Angel
later,Angel
penna,Angel
torcular,Angel
scapula,Angel
ueper,Angel
grando,Angel
mulus,Angel
uapor,Angel
crocus,Angel
bos,Angel
gurgustium,Angel
eruca,Angel
myrtus,Angel
cortex,Angel
uenenum,Angel